subject,modeldate,party,startdate,enddate,pollster,grade,samplesize,population,weight,influence,multiversions,tracking,url,approve,disapprove,approve_adjusted,disapprove_adjusted,timestamp
Trump,4/1/2020,D,2/7/2020,2/9/2020,Morning Consult,B/C,817,a,.603806,0,"","",https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,37,37,34.49088,41.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/9/2020,2/11/2020,YouGov,B-,510,a,.4130127,0,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf,19,50,19.98075,50.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/16/2020,2/18/2020,YouGov,B-,529,a,.3617945,.0074101,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf,11,59,11.98075,59.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/23/2020,2/25/2020,YouGov,B-,525,a,.3186801,.0177067,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf,14,56,14.98075,56.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/24/2020,2/26/2020,Morning Consult,B/C,786,a,.2987443,.0171151,"","",https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_Adults_v2_JB.pdf,29,49,26.49088,53.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/26/2020,2/28/2020,YouGov,B-,324,a,.1868366,.0133501,"","",https://projects.fivethirtyeight.com/polls/20200318_National_HPYouGov_coronavirus_2.pdf,18,70,18.98075,70.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/26/2020,2/28/2020,Harris Insights & Analytics,C+,925,rv,.6958394,.0531017,"","",https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_February2020_RegisteredVoters_Crosstabs.pdf,22,78,19.5367,77.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,2/28/2020,3/1/2020,Morning Consult,B/C,814,a,.2700658,.0243891,"","",https://morningconsult.com/wp-content/uploads/2020/03/200271_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf,23,61,20.49088,65.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/1/2020,3/3/2020,YouGov,B-,622,a,.3381534,.0412678,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3rdraw493c/econTabReport.pdf,11,80,11.98075,80.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/2/2020,3/3/2020,Ipsos,B-,527,a,.5040936,.0681004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_coronavirus_03_03_2020.pdf,15,76,13.90772,77.11019,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/3/2020,3/5/2020,Morning Consult,B/C,769,rv,.2303846,.0353002,"","",https://morningconsult.com/wp-content/uploads/2020/03/200311_crosstabs_CORONAVIRUS_RVs_v3_YW.pdf,15,72,12.49088,76.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/2/2020,3/8/2020,SurveyMonkey,D-,1053,a,.5366558,.116288,"","",https://www.surveymonkey.com/curiosity/nyt-march-2020-cci/,16,82,15.76756,80.20835,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/4/2020,3/7/2020,SSRS,A/B,411.74,a,.7596464,.1782807,"","","https://cdn.cnn.com/cnn/2020/images/03/09/rel2b.-.trump,.coronavirus.pdf",10,84,11.24233,82.25793,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/6/2020,3/8/2020,Global Strategy Group/GBA Strategies,"",420,rv,.4342144,.0925443,"","",https://navigatorresearch.org/wp-content/uploads/2020/03/March-2020-Navigator-Coronavirus-Toplines.pdf,12,80,12.88757,79.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/5/2020,3/8/2020,Quinnipiac University,B+,453.96,rv,.8441678,.2133112,"","",https://poll.qu.edu/national/release-detail?ReleaseID=3657,10,83,11.31378,81.50185,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/6/2020,3/9/2020,Morning Consult,B/C,809,a,.2242061,.0491748,"","",https://morningconsult.com/wp-content/uploads/2020/03/200326_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,16,72,13.49088,76.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/8/2020,3/9/2020,Harris Insights & Analytics,C+,370,rv,.2422151,.0556781,"","",https://thehill.com/hilltv/what-americas-thinking/487327-poll-trump-sees-high-marks-on-the-economy-low-marks-on-handling,21,79,18.5367,78.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/8/2020,3/10/2020,YouGov,B-,533,a,.2637925,.06126,"","",https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf,12,78,12.98075,78.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/10/2020,3/11/2020,YouGov,B-,568,a,.2731147,.0730296,"","",https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf,18,74,18.98075,74.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/10/2020,3/12/2020,YouGov,B-,328,a,.1577142,.042172,"","",https://big.assets.huffingtonpost.com/athena/files/2020/03/17/5e70fe10c5b63c3b6485b422.pdf,16,78,16.98075,78.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/12/2020,3/12/2020,SurveyUSA,A,337,a,.6470813,.2173484,"","",http://www.surveyusa.com/client/PollTrack.aspx?g=41b2a625-ff4d-4ffa-99b2-de9cc09cdd58,10,72,10.01671,73.59846,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/10/2020,3/14/2020,Morning Consult,B/C,754,a,.2001083,.057096,"","",https://morningconsult.com/wp-content/uploads/2020/03/200333_crosstabs_CORONAVIRUS_Adults_v3_JB-2.pdf,16,74,13.49088,78.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/11/2020,3/13/2020,NBC News/Wall Street Journal,A/B,395,rv,.7776899,.2665015,"","",https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html,13,84,13.84808,82.42088,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/11/2020,3/12/2020,Ipsos,B-,149,a,.104495,.0318922,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline-abc-news-coronavirus-031320.pdf,14,86,12.90772,87.11019,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/13/2020,3/15/2020,YouGov,B-,352,a,.167702,.0533353,"","",https://big.assets.huffingtonpost.com/athena/files/2020/03/17/5e70fe10c5b60fb69ddf0b8d.pdf,20,75,20.98075,75.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/13/2020,3/14/2020,Marist College,A+,290.08,rv,.6348358,.2404006,"","",http://maristpoll.marist.edu/wp-content/uploads/2020/03/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2003151338.pdf,15,83,15.51641,81.7702,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/13/2020,3/16/2020,Morning Consult,B/C,761,rv,.196445,.0718739,"","",https://morningconsult.com/wp-content/uploads/2020/03/200346_crosstabs_CORONAVIRUS_TREND_RVs_v3_JB-1.pdf,18,73,15.49088,77.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/14/2020,3/15/2020,Harris Insights & Analytics,C+,779,a,.453597,.1662298,"","",https://theharrispoll.com/wp-content/uploads/2020/03/Harris-Poll-COVID19-Tabs_Wave-2.pdf,26,74,23.5367,73.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/15/2020,3/17/2020,YouGov,B-,511,a,.2422888,.0986548,"","",https://docs.cdn.yougov.com/fcdckgt368/econTabReport.pdf,22,73,22.98075,73.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/16/2020,3/16/2020,Morning Consult,B/C,761,rv,.1969123,.0804643,"","",https://morningconsult.com/wp-content/uploads/2020/03/200346_crosstabs_POLITICO_RVs_v1_AUTO.pdf,10,84,7.490882,88.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/16/2020,3/17/2020,Ipsos,B-,539,a,.3337409,.1592941,"","",https://fingfx.thomsonreuters.com/gfx/mkt/13/3563/3524/Topline%20Reuters%20Coronavirus%2003%2017%202020.pdf,21,75,19.90772,76.11019,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/13/2020,3/22/2020,Gallup,B,314,a,.579473,.3094451,"","",https://news.gallup.com/poll/298313/president-trump-job-approval-rating.aspx,27,72,25.35532,72.91723,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/18/2020,3/19/2020,SurveyUSA,A,414,a,.7758562,.4421686,"","",http://www.surveyusa.com/client/PollReport.aspx?g=982bb407-60fd-42bc-ac07-080c7af879b2,24,68,24.01671,69.59846,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/18/2020,3/19/2020,Emerson College,A-,402,rv,.8137864,.4661723,"","",https://emersonpolling.reportablenews.com/pr/march-national-poll-70-of-americans-worried-about-catching-coronavirus,20.8,68,20.52091,69.91512,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/18/2020,3/19/2020,Ipsos,B-,140,a,.0849393,.047542,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline-abc-news-coronavirus-032020.pdf,30,69,28.90772,70.11019,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/17/2020,3/20/2020,Morning Consult,B/C,725,rv,.1930229,.1033596,"","",https://morningconsult.com/wp-content/uploads/2020/03/200371_crosstabs_CORONAVIRUS_TREND_PARTIALS_RVs_v2_JB.pdf,26,64,23.49088,68.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/18/2020,3/22/2020,Monmouth University,A+,282,a,.6394899,.3911607,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_032320.pdf/,19,76,19.18737,76.01922,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/19/2020,3/22/2020,Rasmussen Reports/Pulse Opinion Research,C+,370,lv,.5847676,.3803963,"","",https://www.rasmussenreports.com/platinum/political_tracking_crosstabs/march_2020/crosstabs_trump_response_to_coronavirus_march_19_and_22_2020,25,72,23.91695,72.91409,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/18/2020,3/24/2020,Ipsos,B-,1981,a,1.177601,.756285,"","",https://fingfx.thomsonreuters.com/gfx/mkt/13/3885/3841/Topline%20Reuters%20Coronavirus%2003%2024%202020.pdf,24,71,22.90772,72.11019,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/20/2020,3/22/2020,Morning Consult,B/C,800,a,.221234,.1368673,"","",https://morningconsult.com/wp-content/uploads/2020/03/200383_crosstabs_CORONAVIRUS_CONTENT_Adults_v4_JB.pdf,25,67,22.49088,71.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/20/2020,3/22/2020,YouGov,B-,340,a,.164701,.1025686,"","",https://big.assets.huffingtonpost.com/athena/files/2020/03/24/5e7a4240c5b63c3b6498205f.pdf,27,68,27.98075,68.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/21/2020,3/23/2020,YouGov,B-,693,a,.3384251,.2250595,"","",https://drive.google.com/file/d/1TofJVeuCbZN8cRGBN97kWGqhO6tlQ7VA/view,22,78,22.98075,78.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/19/2020,3/24/2020,Pew Research Center,B/C,6474,a,2.460264,1.69596,"","",https://www.people-press.org/wp-content/uploads/sites/4/2020/03/PP_2020.03.26_Coronavirus-Impact_FINAL.pdf,18,81,18.95553,79.0622,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/20/2020,3/23/2020,Global Strategy Group/GBA Strategies,"",108.99,rv,.0908187,.0610561,"",T,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.23.20.pdf,24,72,24.88757,71.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/22/2020,3/24/2020,YouGov,B-,502,a,.2503273,.1768063,"","",https://docs.cdn.yougov.com/bfiid7tfh3/econTabReport.pdf,21,74,21.98075,74.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/21/2020,3/24/2020,Global Strategy Group/GBA Strategies,"",106.26,rv,.0875943,.0625402,"",T,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.24.20.pdf,23,73,23.88757,72.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/21/2020,3/24/2020,Fox News/Beacon Research/Shaw & Co. Research,A-,495.39,rv,.9725978,.7082196,"","",https://www.scribd.com/document/453417322/Fox-News-Poll-March-21-24-2020,24,74,23.15661,74.50067,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/22/2020,3/23/2020,Harris Insights & Analytics,C+,371,rv,.2113234,.1503641,"","",https://thehill.com/hilltv/what-americas-thinking/489920-poll-trumps-approval-on-coronavirus-drops-after-calls-to-reopen,30,70,27.5367,69.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/22/2020,3/25/2020,Global Strategy Group/GBA Strategies,"",105.315,rv,.0857727,.0648489,"",T,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.25.20.pdf,18,78,18.88757,77.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/22/2020,3/25/2020,ABC News/Washington Post,A+,300.9,a,.6718016,.5152755,"","",https://www.washingtonpost.com/context/washington-post-abc-news-poll-march-22-25-2020/974c3312-5a40-4764-afb1-4bb6b86f1cf4/,17,78,17.78798,77.58044,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/24/2020,3/26/2020,Harris Insights & Analytics,C+,903,rv,.523028,.4153669,*,"",https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_March2020_RegisteredVoters_Crosstabs.pdf,21,79,18.5367,78.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/24/2020,3/25/2020,SurveyUSA,A,371,a,.7075987,.5687667,"","",http://www.surveyusa.com/client/PollReport.aspx?g=a6354d34-2350-49a3-b360-8772ca176a2d,22,76,22.01671,77.59846,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/23/2020,3/26/2020,Global Strategy Group/GBA Strategies,"",105.525,rv,.0854123,.0681113,"",T,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.26.20.pdf,17,82,17.88757,81.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/24/2020,3/26/2020,Morning Consult,B/C,782,a,.2447326,.1921095,"","",https://morningconsult.com/wp-content/uploads/2020/03/200394_crosstabs_CORONAVIRUS_CONTENT_Adults_v4_JB.pdf,22,72,19.49088,76.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/23/2020,3/26/2020,McLaughlin & Associates,C/D,360,lv,.504579,.4066089,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2020/03/National-Monthly-Omnibus-MARCH-PUBLIC.pdf,25,72,24.07613,72.89722,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/25/2020,3/26/2020,YouGov,B-,565,a,.3091787,.2566468,"","",https://docs.cdn.yougov.com/69501vybsd/20200326_yahoo_coronavirus_crosstabs.pdf,17,79,17.98075,79.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/24/2020,3/27/2020,Global Strategy Group/GBA Strategies,"",107.31,rv,.0868074,.0727727,"",T,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.27.20.pdf,16,81,16.88757,80.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/26/2020,3/27/2020,Harris Insights & Analytics,C+,351,rv,.2168281,.1898328,"","",https://thehill.com/hilltv/what-americas-thinking/489920-poll-trumps-approval-on-coronavirus-drops-after-calls-to-reopen,29,71,26.5367,70.30794,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/27/2020,3/29/2020,Morning Consult,B/C,827,a,.2976726,.2715136,"","",https://morningconsult.com/wp-content/uploads/2020/03/2003102_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf,22,69,19.49088,73.58694,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/25/2020,3/30/2020,Global Strategy Group/GBA Strategies,"",71.19,rv,.0581754,.0534823,"",T,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.30.20.pdf,19,79,19.88757,78.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/28/2020,3/30/2020,Civiqs,"",496.65,a,.6117474,.5879918,"","",https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_03B_x2nf9sb.pdf,8,87,11.18939,84.29029,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/26/2020,3/31/2020,Global Strategy Group/GBA Strategies,"",427.14,rv,.3521615,.3379598,"",T,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F03.31.20.pdf,18,78,18.88757,77.21515,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/27/2020,3/30/2020,Selzer & Co.,A+,396,a,.8883732,.8538755,"","",https://www.grinnell.edu/sites/default/files/docs/2020-03/GCNP%20April%202020%20Toplines%20and%20Methodology.pdf,24,72,23.21097,72.99808,14:11:26  1 Apr 2020
Trump,4/1/2020,D,3/29/2020,3/31/2020,YouGov,B-,540,a,.3449267,.3449267,"","",https://docs.cdn.yougov.com/p8nwhxp50n/econTabReport.pdf,22,72,22.98075,72.42955,14:11:26  1 Apr 2020
Trump,4/1/2020,I,2/2/2020,2/4/2020,YouGov,B-,599,a,.5332451,0,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf,39,25,40.85176,27.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/7/2020,2/9/2020,Morning Consult,B/C,700,a,.5733461,0,"","",https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,50,22,49.21737,25.55998,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/9/2020,2/11/2020,YouGov,B-,607,a,.4519577,0,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf,33,25,34.85176,27.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/16/2020,2/18/2020,YouGov,B-,583,a,.366127,.0074057,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf,36,25,37.85176,27.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/23/2020,2/25/2020,YouGov,B-,588,a,.3284714,.0179564,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf,34,26,35.85176,28.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/24/2020,2/26/2020,Morning Consult,B/C,677,a,.2979356,.0173675,"","",https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_Adults_v2_JB.pdf,49,24,48.21737,27.55998,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/26/2020,2/28/2020,Harris Insights & Analytics,C+,735,rv,.6520222,.0519606,"","",https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_February2020_RegisteredVoters_Crosstabs.pdf,46,54,44.1617,50.60234,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/26/2020,2/28/2020,YouGov,B-,387,a,.2051049,.0144326,"","",https://projects.fivethirtyeight.com/polls/20200318_National_HPYouGov_coronavirus_2.pdf,38,35,39.85176,37.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,2/28/2020,3/1/2020,Morning Consult,B/C,692,a,.2670398,.0244901,"","",https://morningconsult.com/wp-content/uploads/2020/03/200271_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf,41,33,40.21737,36.55998,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/1/2020,3/3/2020,YouGov,B-,618,a,.3087274,.0371712,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3rdraw493c/econTabReport.pdf,34,41,35.85176,43.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/2/2020,3/3/2020,Ipsos,B-,102,a,.1583895,.0248098,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline_reuters_coronavirus_03_03_2020.pdf,23,57,23.696,56.2355,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/3/2020,3/5/2020,Morning Consult,B/C,545,rv,.1918889,.0296283,"","",https://morningconsult.com/wp-content/uploads/2020/03/200311_crosstabs_CORONAVIRUS_RVs_v3_YW.pdf,40,42,39.21737,45.55998,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/2/2020,3/8/2020,SurveyMonkey,D-,344,a,.3679875,.0797392,"","",https://www.surveymonkey.com/curiosity/nyt-march-2020-cci/,38,58,38.33864,55.26984,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/4/2020,3/7/2020,SSRS,A/B,448.07,a,.8126959,.1907309,"","","https://cdn.cnn.com/cnn/2020/images/03/09/rel2b.-.trump,.coronavirus.pdf",37,47,37.67348,46.73053,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/6/2020,3/8/2020,Global Strategy Group/GBA Strategies,"",240,rv,.3252019,.0731771,"","",https://navigatorresearch.org/wp-content/uploads/2020/03/March-2020-Navigator-Coronavirus-Toplines.pdf,35,46,35.10594,47.17607,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/5/2020,3/8/2020,Quinnipiac University,B+,315.25,rv,.6220685,.1571894,"","",https://poll.qu.edu/national/release-detail?ReleaseID=3657,37,50,37.63705,49.18589,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/6/2020,3/9/2020,Morning Consult,B/C,733,a,.2391589,.0527459,"","",https://morningconsult.com/wp-content/uploads/2020/03/200326_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,36,41,35.21737,44.55998,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/8/2020,3/9/2020,Harris Insights & Analytics,C+,290,rv,.2321918,.0545649,"","",https://thehill.com/hilltv/what-americas-thinking/487327-poll-trump-sees-high-marks-on-the-economy-low-marks-on-handling,42,58,40.1617,54.60234,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/8/2020,3/10/2020,YouGov,B-,586,a,.263308,.0609003,"","",https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf,42,37,43.85176,39.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/10/2020,3/11/2020,YouGov,B-,659,a,.2866549,.0765382,"","",https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf,35,44,36.85176,46.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/10/2020,3/12/2020,YouGov,B-,422,a,.1835635,.0490123,"","",https://big.assets.huffingtonpost.com/athena/files/2020/03/17/5e70fe10c5b63c3b6485b422.pdf,39,37,40.85176,39.80149,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/10/2020,3/14/2020,Morning Consult,B/C,753,a,.2360358,.0675914,"","",https://morningconsult.com/wp-content/uploads/2020/03/200333_crosstabs_CORONAVIRUS_Adults_v3_JB-2.pdf,34,41,33.21737,44.55998,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/11/2020,3/13/2020,NBC News/Wall Street Journal,A/B,108,rv,.2368814,.0811754,"","",https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html,43,52,42.88065,51.46474,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/11/2020,3/12/2020,Ipsos,B-,201,a,.2583258,.0840697,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline-abc-news-coronavirus-031320.pdf,38,61,38.696,60.2355,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/12/2020,3/12/2020,SurveyUSA,A,207,a,.4239666,.1433627,"","",http://www.surveyusa.com/client/PollTrack.aspx?g=41b2a625-ff4d-4ffa-99b2-de9cc09cdd58,46,42,44.99767,43.47383,14:11:27  1 Apr 2020
Trump,4/1/2020,I,3/13/2020,3/14/2020,Marist College,A+,235.2,rv,.5191548,.1965944,"","",http://maristpoll.marist.edu/wp-content/uploads/2020/03/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2003151338.pdf,40,50,40.51995,49.44435,14:11:27  1 Apr 2020
